sno,sna,tot,lat,lng,sarea
1279,俊英俊保路口,30,25.009150,121.425183,樹林區
1280,洲子洋公園,38,25.094701,121.448105,五股區
1281,學成大義路口,46,24.945099,121.378671,樹林區
1282,捷運頭前庄站(1號出口),52,25.039365,121.460856,新莊區
1283,文化機車立體停車場,32,25.172485,121.438806,淡水區
1284,成德公園,36,25.105052,121.452963,五股區
1285,頭湖國小,38,25.081673,121.372687,林口區
1286,金城立德路口,38,24.986691,121.465481,土城區
1287,恩主公醫院,66,24.938912,121.363553,三峽區
1288,中和區公所,32,24.998558,121.500533,中和區
1289,忠山市民活動中心,36,25.078202,121.624493,汐止區
1290,三重永豐公園,32,25.074629,121.478162,三重區
1291,臺灣藝術大學,40,25.007502,121.448000,板橋區
1292,新莊體育館,40,25.040766,121.452459,新莊區
1293,永和耕莘醫院,32,25.011232,121.517701,永和區
1294,三多國小,34,25.016405,121.407135,樹林區
1295,永安兒童公園,30,25.082273,121.482236,蘆洲區
1296,新北市立中和高級中學,36,24.993700,121.478230,中和區
1297,扶輪公園,40,25.072864,121.369480,林口區
1298,安邦公園,34,24.996867,121.496647,中和區
1299,立德公園,34,25.076441,121.367223,林口區
1300,新北市政府(新站路),60,25.012614,121.466455,板橋區
1301,清水高中,34,24.982756,121.465444,土城區
1302,板橋車站,98,25.015519,121.463735,板橋區
1303,樹林國民運動中心,34,25.004186,121.422847,樹林區
1304,捷運輔大站(4號出口),42,25.033025,121.436484,新莊區
1305,民安東民全街口,36,25.020774,121.429556,新莊區
1306,中興北街175巷口,32,25.055970,121.471327,三重區
1307,仁愛路151巷口,44,25.064819,121.663885,汐止區
1308,五股工商立體停車場,40,25.082494,121.439555,五股區
1309,沛陂社區公園,34,24.963289,121.419672,土城區
1310,佳和公園,34,25.006927,121.503171,中和區
1311,溪頭公園,40,25.033086,121.468403,板橋區
1312,龍鳳公園,40,25.021447,121.416497,新莊區
1313,伊吉邦社區,46,25.030186,121.413402,新莊區
1314,三多第1市民活動中心,34,25.016361,121.404257,樹林區
1315,新北高工,44,24.982770,121.449900,土城區
1316,瑞芳火車站,44,25.108506,121.806460,瑞芳區
1317,長風社區,36,24.978108,121.439369,土城區
1318,永和國民運動中心,40,25.003555,121.524246,永和區
1319,民樂人行廣場,36,25.001834,121.482594,中和區
1320,民生親子公園,30,24.992983,121.428196,樹林區
1321,樹林工業區,38,25.000868,121.416091,樹林區
1322,防災公園,36,24.938911,121.373676,三峽區
1323,尖山國中,32,24.944300,121.342089,鶯歌區
1324,新北市立圖書館新店分館,36,24.982138,121.540903,新店區
1325,浮洲火車站,48,25.004098,121.444447,板橋區
1326,捷運海山站(1號出口),80,24.984695,121.448504,土城區
1327,深坑區公所(深坑老街),50,25.0015,121.616311,深坑區
1328,東南科技大學,34,25.0033,121.602501,深坑區
1329,德光國光街口,34,25.003136,121.468087,中和區
1330,瑞芳區公所,30,25.108472,121.809735,瑞芳區
1331,永和國父紀念館,30,25.008390,121.520234,永和區
1332,台北得意GO,30,25.074424,121.467852,五股區
1333,大觀國中,40,25.011210,121.447237,板橋區
1334,太陽公園,32,25.086448,121.485599,三重區
1335,三重五常公園,28,25.080648,121.496149,三重區
1336,三德公園,36,25.074974,121.500542,三重區
1337,力行大勇街口,30,25.071928,121.481508,三重區
1338,蘆洲延平派出所,36,25.081620,121.461620,蘆洲區
1339,永安南路九芎街71巷口,36,25.077564,121.466071,蘆洲區
1340,福和宮,50,25.001110,121.501991,中和區
1341,飛駝社區(興南路),42,24.983471,121.504826,中和區
1342,保平路214巷,30,25.007010,121.509208,永和區
1343,汐科火車站(南),48,25.062884,121.646597,汐止區
1344,樹林國小,34,24.989103,121.418296,樹林區
1345,永吉國小,36,24.958747,121.333095,鶯歌區
1346,中園國小,36,24.927551,121.366919,三峽區
1347,介壽國小,30,24.930341,121.378835,三峽區
1348,安溪國中,32,24.926790,121.371957,三峽區
1349,龍埔國小,38,24.941224,121.376763,三峽區
1350,大安路與中山路二段口,34,24.983043,121.411318,樹林區
1351,樹林區公所,40,24.989760,121.424780,樹林區
1352,蘆洲重陽大樓,30,25.085055,121.481887,蘆洲區
1353,埔墘國小,34,25.019078,121.473724,板橋區
1354,圓通錦和路口,46,24.989236,121.491482,中和區
1355,下庄市場,30,25.146498,121.399748,八里區
1356,亞洲員安路口,34,24.972621,121.434796,土城區
1357,大安路307巷口,32,24.992158,121.417726,樹林區
1358,漁人碼頭,50,25.183869,121.411178,淡水區
1359,味王街,30,24.974674,121.404424,樹林區
1360,福基公園,32,25.058100,121.460892,新莊區
1361,振義里公園,30,25.023888,121.483965,板橋區
1362,安溪國小,36,24.930621,121.372344,三峽區
